6.507,3246.6270,N,11704.1985,W,1,07,1.6,138.1,M,-34.8,M,,0000*6A
$GPGGA,180427.507,3246.6270,N,11704.1985,W,1,07,1.6,138.2,M,-34.8,M,,0000*68
$GPGGA,180428.507,3246.6270,N,11704.1985,W,1,07,1.6,138.2,M,-34.8,M,,0000*67
$GPGGA,180429.507,3246.6270,N,11704.1985,W,1,07,1.6,138.1,M,-34.8,M,,0000*65
$GPGGA,180430.507,3246.6271,N,11704.1985,W,1,07,1.6,138.1,M,-34.8,M,,0000*6C
$GPGGA,180431.507,3246.6272,N,11704.1985,W,1,08,1.4,138.1,M,-34.8,M,,0000*63
$GPGGA,180432.507,3246.6272,N,11704.1985,W,1,07,1.6,138.1,M,-34.8,M,,0000*6D
$GPGGA,180433.507,3246.6273,N,11704.1985,W,1,08,1.4,138.1,M,-34.8,M,,0000*60
$GPGGA,180434.507,3246.6271,N,11704.1985,W,1,08,2.2,138.4,M,-34.8,M,,0000*65
$GPGGA,180435.507,3246.6270,N,11704.1991,W,1,10,1.1,138.5,M,-34.8,M,,0000*68
$GPGGA,180436.507,3246.6269,N,11704.1995,W,1,09,1.2,138.6,M,-34.8,M,,0000*6F
$GPGGA,180437.507,3246.6267,N,11704.1998,W,1,09,1.2,138.0,M,-34.8,M,,0000*6B
$GPGGA,180438.507,3246.6267,N,11704.2000,W,1,09,1.2,138.1,M,-34.8,M,,0000*6E
$GPGGA,180439.507,3246.6267,N,11704.2003,W,1,09,1.2,137.4,M,-34.8,M,,0000*66
$GPGGA,180440.507,3246.6265,N,11704.2006,W,1,08,1.3,136.7,M,-34.8,M,,0000*6D
$GPGGA,180441.507,3246.6267,N,11704.2025,W,1,08,1.3,139.3,M,-34.8,M,,0000*64
$GPGGA,180442.507,3246.6269,N,11704.2049,W,1,09,1.2,142.5,M,-34.8,M,,0000*69
$GPGGA,180443.507,3246.6270,N,11704.2056,W,1,09,1.2,143.8,M,-34.8,M,,0000*62
$GPGGA,180444.507,3246.6265,N,11704.2064,W,1,08,1.3,143.5,M,-34.8,M,,0000*6D
$GPGGA,180445.507,3246.6265,N,11704.2069,W,1,08,1.3,144.0,M,-34.8,M,,0000*63
$GPGGA,180446.507,3246.6266,N,11704.2073,W,1,08,1.3,144.3,M,-34.8,M,,0000*6B
$GPGGA,180447.507,3246.6265,N,11704.2078,W,1,08,1.3,144.7,M,-34.8,M,,0000*66
$GPGGA,180448.507,3246.6265,N,11704.2081,W,1,08,1.3,145.9,M,-34.8,M,,0000*60
$GPGGA,180449.507,3246.6267,N,11704.2086,W,1,08,1.3,148.8,M,-34.8,M,,0000*68
$GPGGA,180450.507,3246.6268,N,11704.2096,W,1,08,1.3,151.1,M,-34.8,M,,0000*6F
$GPGGA,180451.507,3246.6265,N,11704.2096,W,1,08,1.3,150.0,M,-34.8,M,,0000*63
$GPGGA,180452.507,3246.6263,N,11704.2104,W,1,08,1.3,150.9,M,-34.8,M,,0000*65
